wavelength, response
400.0, 0.5000
410.4, 0.5137
414.9, 0.5259
418.2, 0.5381
428.5, 0.6006
442.2, 0.6982
456.8, 0.7995
474.6, 0.8994
481.1, 0.9223
489.5, 0.9436
499.9, 0.9558
496.0, 0.9527
505.1, 0.9543
511.6, 0.9451
520.0, 0.9405
529.1, 0.9383
542.1, 0.9375
553.7, 0.9375
562.2, 0.9405
569.3, 0.9451
576.4, 0.9512
584.2, 0.9604
599.8, 0.9848
606.9, 0.9924
614.1, 0.9970
618.6, 0.9985
623.8, 0.9954
629.6, 0.9863
640.0, 0.9634
650.4, 0.9375
660.4, 0.8994
684.8, 0.8003
699.7, 0.7409
711.4, 0.6982
720.4, 0.6646
739.2, 0.6006
774.3, 0.4985
754.8, 0.5534
762.6, 0.5305
785.0, 0.4726
790.5, 0.4558
799.6, 0.4223
805.4, 0.3994
811.2, 0.3857
818.4, 0.3704
831.4, 0.3552
844.3, 0.3354
851.8, 0.3201
863.8, 0.2973
872.9, 0.2805
880.6, 0.2607
885.2, 0.2500
894.3, 0.2287
900.8, 0.2012
904.0, 0.1875
915.7, 0.1692
929.9, 0.1509
948.8, 0.1212
963.4, 0.09909
979.2, 0.07317
985.7, 0.06555
999.4, 0.05488
